FacilityID;NationalID;FacilityName;PostalCode;CountryName;Lat;Long;CompetentAuthorityName;StreetName;BuildingNumber;City;MainIAActivityCode;MainIASectorName;MainIAActivityName;MainIASubActivityName;MainActivityIndicator;ReportingYear;PollutantName;PollutantGroupName;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;industrial category;Manually researched activity;comment;number no value;information status;FacilityID (Niklas);industrial category (Niklas);Manually researched activity (Niklas);Umbennenungen;local deviation(<>100m);1 latest FID;1 latest Name;1 latest Jahr;2 latest FID;2 latest Name;2 latest Jahr;2 älteste FID;2 oldest Name;2 oldest Jahr;1 oldest FID;1 oldest Name;1 oldest Jahr
188;0180-81-008;HAMMARBYVERKET;12030;Sweden;59.30360252;18.09072953;Stockholms kommun;Hammarby kajväg 5;;STOCKHOLM;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2010;Carbon dioxide (CO2);Greenhouse gases;120000000;0;0;125000000;0;0;0;0;0;0;0;Öl als reserve;Öl als reserve;HCFCs über gesamten Zeitraum;9;4;;;;;;;;;;;;;;;;;
190;0181-81-003;Igelsta värmeverk;15257;Sweden;59.17748225;17.66524499;Södertälje kommun, tillsynsmyndighet;Nynäsvägen 43;;SÖDERTÄLJE;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;197000000;639000000;489000000;426000000;404000000;418000000;387000000;337000000;314000000;295000000;318000000;Biomasse;Biomasse;;;;190;Other;0;;;;;;;;;;;;;;
192;0184-81-003;SOLNAVERKET;17154;Sweden;59.35240078;17.97284761;Länsstyrelsen i Stockholms län;Solna Strandväg 37;;SOLNA;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2016;Carbon dioxide (CO2);Greenhouse gases;131000000;130000000;151000000;183000000;133000000;148000000;153000000;121000000;118000000;116000000;0;Biomasse;Biomasse;keine Daten 2017;1;5;192;Other;0;;;;;;;;;;;;;;
193;0188-103;HALLSTA PAPPERSBRUK;76381;Sweden;60.06178787;18.59402113;Länsstyrelsen i Stockholms län;Hallsta Pappersbruk, Hallstavik;;HALLSTAVIK;6.(a);Paper and wood production processing;Industrial plants for the production of pulp from timber or similar fibrous materials;;TRUE;2013;Carbon dioxide (CO2);Greenhouse gases;228000000;192000000;143000000;188000000;173000000;190000000;188000000;0;0;0;0;Industrial plants for the production of pulp from timber or similar fibrous materials;;2013 geschlossen;;1;193;Other;0;;;;;;;;;;;;;;
195;0191-81-008;BRISTAVERKET;19530;Sweden;59.6147392;17.8725299;Sigtuna kommun;Returvägen;;SIGTUNA;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;302000000;297000000;350000000;360000000;334000000;377000000;279000000;433000000;429000000;407000000;412000000;Biomasse;Biomasse;;;;195;Other;0;;;;;;;;;;;;;;
196;0192-102;NYNAS AB, Oljeraffinaderiet i Nynäshamn;149 82;Sweden;58.91656416;17.95937255;Länsstyrelsen i Stockholms län;Raffinaderivägen;;NYNÄSHAMN;1.(a);Energy sector;Mineral oil and gas refineries;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;159000000;124000000;122000000;134000000;137000000;128000000;141000000;147000000;Mineral oil and gas refineries;;2010 eröffnet;;;196;Other;0;;;;;;;;;;;;;;
198;01D000018;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Elektrownia Turów;59-916;Poland;50.948611;14.913056;Główny Inspektorat Ochrony Środowiska;Młodych Energetyków  12;;Bogatynia;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;12300000000;12900000000;11700000000;10600000000;10800000000;10900000000;9990000000;8510000000;7600000000;7840000000;7110000000;Coal power plant;Coal power plant;;;;198;Coal power plant;Coal power plant;;;;;;;;;;;;;;
212;01D000166;KGHM POLSKA MIEDŹ S.A., Huta Miedzi LEGNICA;59-220;Poland;51.18405;16.11369;Główny Inspektorat Ochrony Środowiska;Złotoryjska  194;;Legnica;5.(d);Waste and waste water management;Landfills (see note in Guidance Document);;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;339000000;327000000;296000000;292000000;333000000;340000000;280000000;248000000;278000000;270000000;257000000;Landfills (see note in Guidance Document);;;;;212;Other;0;;;;;;;;;;;;;;
214;01D000168;KGHM POLSKA MIEDŹ S.A., Huta Miedzi GŁOGÓW;67-200;Poland;51.68625;15.9769;Główny Inspektorat Ochrony Środowiska;Żukowicka 1;;Głogów;2.(e);Productiona and processing of metals;Installations:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;115000000;1170000000;1090000000;1200000000;1230000000;1160000000;1140000000;1210000000;1210000000;960000000;923000000;Installations:;;;;;214;Other;0;;;;;;;;;;;;;;
218;01D000268;PCC Rokita SA;56-120;Poland;51.274266;16.736984;Główny Inspektorat Ochrony Środowiska;Sienkiewicza 4;;Brzeg Dolny;5.(a);Waste and waste water management;Installations for the recovery or disposal of hazardous waste;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;146000000;147000000;142000000;153000000;151000000;173000000;165000000;182000000;208000000;Installations for the recovery or disposal of hazardous waste;;2009 börsengang, nur NMVOC bis 2008;;;218;Other;0;1;<100;;;;;;;219;"Przedsiębiorstwo Energetyczne ""Energetyka-Rokita"" Sp. z o.o.";2008;;;
219;01D000269;"Przedsiębiorstwo Energetyczne ""Energetyka-Rokita"" Sp. z o.o.";56-120;Poland;51.275588;16.729513;Główny Inspektorat Ochrony Środowiska;Sienkiewicza 4;;Brzeg Dolny;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2008;Carbon dioxide (CO2);Greenhouse gases;133000000;140000000;0;0;0;0;0;0;0;0;0;unspecified;unspecified;keine Daten ab 2009;;;;;;1;<100;;;;218;PCC Rokita SA;2009;;;;;;
224;01D000396;Wojewódzkie Przedsiębiorstwo Energetyki Cieplnej w Legnicy S. A., Centralna Ciepłownia w Legnicy;59-220;Poland;51.234434;16.189685;Główny Inspektorat Ochrony Środowiska;Dobrzejowska 6;;Legnica;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2010;Carbon dioxide (CO2);Greenhouse gases;0;0;0;109000000;0;0;0;0;0;0;0;Coal power plant;Coal power plant;Nox über gesamte Zeit;10;4;;;;;;;;;;;;;;;;;
231;01D000454;"Wałbrzyskie Zakłady Koksownicze ""Victoria"" S.A";58-305;Poland;50.755735;16.24114;Główny Inspektorat Ochrony Środowiska;Kosteckiego  9;;Wałbrzych;1.(d);Energy sector;Coke ovens;;TRUE;2012;Carbon dioxide (CO2);Greenhouse gases;104000000;0;0;0;0;101000000;0;0;0;0;0;Coke ovens;;keine Information;9;;;;;;;;;;;;;;;;;;
234;01D000475;Zespół Elektrociepłowni Wrocławskich KOGENERACJA S.A., Elektrociepłownia Czechnica;55-011;Poland;51.038055;17.150278;Główny Inspektorat Ochrony Środowiska;Fabryczna 22;;Siechnice;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;441000000;428000000;414000000;447000000;425000000;426000000;390000000;247000000;280000000;342000000;355000000;Coal power plant;Coal power plant;;;;234;Coal power plant;Coal power plant;;;;;;;;;;;;;;
235;01D000476;Zespół Elektrociepłowni Wrocławskich KOGENERACJA S.A., Elektrociepłownia Wrocław;50-220;Poland;51.123888;17.024444;Główny Inspektorat Ochrony Środowiska;Łowiecka 24;;Wrocław;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;1390000000;1210000000;1180000000;1170000000;1190000000;1190000000;1170000000;1070000000;1080000000;1200000000;1170000000;Coal power plant;Coal power plant;;;;235;Coal power plant;Coal power plant;;;;;;;;;;;;;;
238;2007000080;COGNE ACCIAI SPECIALI SPA;11100;Italy;45.733611;7.322222;ISPRA;Via Paravera;16;AOSTA;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;0;0;0;0;105000000;0;0;109000000;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;keine Information;9;;;;;;;;;;;;;;;;;;
240;100430056;GE Hungary Kft.;8800;Hungary;46.470976;16.992636;Vas/Zala Megyei KH - KTFO;Kinizsi u. 97.;;Nagykanizsa;3.(e);Mineral industry;Installations for the manufacture of glass, including glass fibre;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;0;0;0;0;0;0;427000000;1340000000;Installations for the manufacture of glass, including glass fibre;;;;;;;;;;;;;;;;;;;;;
281;100351304;Bakonyi Erőmű Zrt.;8400;Hungary;47.0956;17.558444;Fejér/Veszprém/Tolna Megyei KH - KTFO;Gyártelep;;Ajka;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;555000000;689000000;750000000;253000000;454000000;407000000;333000000;371000000;371000000;0;336000000;Coal and Biomass power plant;Coal and Biomass power plant;;;;281;Other;0;;;;;;;;;;;;;;
288;2007001965;Centrale di Cogenerazione di Malpensa;21010;Italy;45.620277;8.739722;ISPRA;Aeroporto Malpensa 2000;snc;FERNO;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;154000000;145000000;157000000;169000000;181000000;163000000;141000000;117000000;0;121000000;127000000;NGCC power plant;NGCC power plant;keine Information 2015;1;;;;;;;;;;;;;;;;;;
